Step 0, time 120.6324, Loss 6.7218
Step 1, time 0.6564, Loss 7.1886
Step 2, time 0.6218, Loss 6.6217
Step 3, time 0.6333, Loss 6.5297
Step 4, time 0.6349, Loss 6.1460
Step 5, time 0.6347, Loss 7.2092
Step 6, time 0.6263, Loss 6.3165
Step 7, time 0.6388, Loss 7.0657
Step 8, time 0.6444, Loss 6.2132
Step 9, time 0.6337, Loss 6.7651
Step 10, time 0.6239, Loss 6.3524
Step 11, time 0.6322, Loss 6.0640
Step 12, time 0.6341, Loss 6.7582
Step 13, time 0.6190, Loss 6.3367
Step 14, time 0.6229, Loss 7.1868
Step 15, time 0.6353, Loss 6.6852
Step 16, time 0.6309, Loss 6.5461
Step 17, time 0.6233, Loss 6.9876
Step 18, time 0.6923, Loss 6.8127
Step 19, time 0.6406, Loss 6.4850
Step 20, time 0.6252, Loss 6.8515
Step 21, time 0.6284, Loss 6.6901
Step 22, time 0.6154, Loss 6.3666
Step 23, time 0.6351, Loss 6.5051
Step 24, time 0.6366, Loss 6.9054
Step 25, time 0.6223, Loss 7.2952
Step 26, time 0.6237, Loss 7.9186
Step 27, time 0.6272, Loss 6.4014
Step 28, time 0.6261, Loss 6.2984
Step 29, time 0.6367, Loss 7.1540
Step 30, time 0.6177, Loss 6.4030
Step 31, time 0.6226, Loss 6.5884
Step 32, time 0.6339, Loss 7.1383
Step 33, time 0.6252, Loss 6.5192
Step 34, time 0.6380, Loss 6.9198
Step 35, time 0.6207, Loss 6.6907
Step 36, time 0.6344, Loss 6.3305
Step 37, time 0.6297, Loss 6.5114
Step 38, time 0.6129, Loss 6.5438
Step 39, time 0.6278, Loss 6.2209
Step 40, time 0.6167, Loss 6.6508
Step 41, time 0.6158, Loss 5.6666
Step 42, time 0.6233, Loss 6.6647
Step 43, time 0.6237, Loss 6.1152
Step 44, time 0.6304, Loss 6.5301
Step 45, time 0.6180, Loss 6.7069
Step 46, time 0.6184, Loss 6.0700
Step 47, time 0.6290, Loss 6.7711
Step 48, time 0.6177, Loss 6.8736
Step 49, time 0.6310, Loss 6.3734
Step 50, time 0.6253, Loss 6.0557
Step 51, time 0.6407, Loss 6.3060
Step 52, time 0.6400, Loss 6.5996
Step 53, time 0.6246, Loss 6.6789
Step 54, time 0.6229, Loss 6.6909
Step 55, time 0.6392, Loss 7.2997
Step 56, time 0.6298, Loss 6.1922
Step 57, time 0.6348, Loss 6.3083
Step 58, time 0.6329, Loss 6.5082
Step 59, time 0.6293, Loss 6.8181
Step 60, time 0.6240, Loss 6.3715
Step 61, time 0.6224, Loss 7.0277
Step 62, time 0.6359, Loss 6.4175
Step 63, time 0.6093, Loss 6.3624
Step 64, time 0.6237, Loss 6.8992
Step 65, time 0.6375, Loss 6.7846
Step 66, time 0.6373, Loss 6.6084
Step 67, time 0.6388, Loss 6.2661
Step 68, time 0.6243, Loss 6.7461
Step 69, time 0.6278, Loss 6.2873
Step 70, time 0.6354, Loss 6.1606
Step 71, time 0.6280, Loss 6.3840
Step 72, time 0.6210, Loss 7.2112
Step 73, time 0.6321, Loss 6.9402
Step 74, time 0.6310, Loss 5.9743
Step 75, time 0.6398, Loss 7.9024
Step 76, time 0.6173, Loss 6.7709
Step 77, time 0.6316, Loss 6.9886
Step 78, time 0.6323, Loss 6.3753
Step 79, time 0.6194, Loss 6.3042
Step 80, time 0.6263, Loss 6.3780
Step 81, time 0.6307, Loss 7.7132
Step 82, time 0.5950, Loss 6.2769
Step 83, time 0.6319, Loss 6.7196
Step 84, time 0.6207, Loss 6.5414
Step 85, time 0.6347, Loss 6.5024
Step 86, time 0.6232, Loss 6.8414
Step 87, time 0.6260, Loss 6.3456
Step 88, time 0.6298, Loss 6.5749
Step 89, time 0.6307, Loss 7.0920
Step 90, time 0.6363, Loss 5.9702
Step 91, time 0.6460, Loss 6.4788
Step 92, time 0.6319, Loss 6.1637
Step 93, time 0.6191, Loss 6.5397
Step 94, time 0.6267, Loss 7.7258
Step 95, time 0.6214, Loss 6.3157
Step 96, time 0.6240, Loss 6.4116
Step 97, time 0.6387, Loss 7.0486
Step 98, time 0.6277, Loss 6.1635
Step 99, time 0.6306, Loss 6.5171
Step 100, time 0.6399, Loss 6.4280
Step 101, time 0.6314, Loss 7.2962
Step 102, time 0.6264, Loss 6.2279
Step 103, time 0.6245, Loss 6.1818
Step 104, time 0.6320, Loss 6.3898
Step 105, time 0.6267, Loss 6.6563
Step 106, time 0.6262, Loss 7.0344
Step 107, time 0.6197, Loss 6.3922
Step 108, time 0.6313, Loss 6.3089
Step 109, time 0.6200, Loss 7.0770
Step 110, time 0.6256, Loss 6.6424
Step 111, time 0.6300, Loss 6.3754
Step 112, time 0.6172, Loss 6.3705
Step 113, time 0.6186, Loss 6.5654
Step 114, time 0.6165, Loss 5.7830
Step 115, time 0.6249, Loss 6.9437
Step 116, time 0.6344, Loss 6.5335
Step 117, time 0.6405, Loss 6.8311
Step 118, time 0.6206, Loss 6.4370
Step 119, time 0.6546, Loss 6.6649
Step 120, time 0.6334, Loss 6.5910
Step 121, time 0.6556, Loss 6.4980
Step 122, time 0.6435, Loss 6.9839
