Step 5, time 124.6653, Loss 7.1259
Step 6, time 0.5841, Loss 6.0812
Step 7, time 0.5806, Loss 6.5904
Step 8, time 0.5727, Loss 6.4748
Step 9, time 0.5851, Loss 6.2522
Step 10, time 0.5720, Loss 6.1626
Step 11, time 0.5676, Loss 6.1844
Step 12, time 0.5811, Loss 6.6754
Step 13, time 0.5677, Loss 6.3883
Step 14, time 0.5856, Loss 6.7900
Step 15, time 0.5752, Loss 6.4383
Step 16, time 0.5755, Loss 7.1585
Step 17, time 0.5902, Loss 6.7794
Step 18, time 0.5746, Loss 6.7010
Step 19, time 0.5798, Loss 6.5381
Step 20, time 0.5640, Loss 6.5846
Step 21, time 0.5703, Loss 6.3165
Step 22, time 0.5760, Loss 5.9477
Step 23, time 0.5745, Loss 6.9529
Step 24, time 0.5726, Loss 6.2411
Step 25, time 0.5921, Loss 7.0446
Step 26, time 0.5985, Loss 6.1088
Step 27, time 0.5796, Loss 7.6270
Step 28, time 0.5887, Loss 6.1679
Step 29, time 0.5858, Loss 6.3324
Step 30, time 0.5762, Loss 6.9850
Step 31, time 0.5862, Loss 6.6457
Step 32, time 0.5913, Loss 6.8562
Step 33, time 0.5988, Loss 6.9199
Step 34, time 0.5856, Loss 6.9322
Step 35, time 0.5831, Loss 7.8160
Step 36, time 0.5784, Loss 6.3494
Step 37, time 0.5859, Loss 6.3612
Step 38, time 0.6099, Loss 6.6733
Step 39, time 0.5863, Loss 6.5256
Step 40, time 0.5935, Loss 7.0142
Step 41, time 0.5862, Loss 7.4775
Step 42, time 0.5961, Loss 8.5262
Step 43, time 0.5885, Loss 6.7584
Step 44, time 0.5778, Loss 6.8335
Step 45, time 0.5798, Loss 6.4156
Step 46, time 0.5789, Loss 6.0669
Step 47, time 0.5795, Loss 6.7191
Step 48, time 0.5748, Loss 6.2048
Step 49, time 0.5760, Loss 6.7727
Step 50, time 0.5820, Loss 6.8282
Step 51, time 0.5640, Loss 7.2023
Step 52, time 0.5740, Loss 6.2489
Step 53, time 0.5688, Loss 6.7257
Step 54, time 0.5705, Loss 6.1172
Step 55, time 0.5738, Loss 6.0421
Step 56, time 0.5792, Loss 6.0301
Step 57, time 0.5723, Loss 7.0169
Step 58, time 0.5678, Loss 6.4661
Step 59, time 0.5723, Loss 6.0126
Step 60, time 0.5697, Loss 6.4113
Step 61, time 0.5727, Loss 6.7816
Step 62, time 0.5748, Loss 7.2153
Step 63, time 0.5670, Loss 6.2409
Step 64, time 0.5732, Loss 6.4149
Step 65, time 0.5875, Loss 6.6842
Step 66, time 0.5701, Loss 6.9482
Step 67, time 0.5752, Loss 6.2980
Step 68, time 0.5803, Loss 6.4463
Step 69, time 0.5773, Loss 6.3135
Step 70, time 0.5733, Loss 6.6993
Step 71, time 0.5716, Loss 6.8304
Step 72, time 0.5707, Loss 6.3829
Step 73, time 0.5731, Loss 7.0777
Step 74, time 0.5645, Loss 6.7923
Step 75, time 0.5695, Loss 6.7604
Step 76, time 0.5738, Loss 7.0479
Step 77, time 0.5768, Loss 6.8360
Step 78, time 0.5733, Loss 6.7465
Step 79, time 0.5763, Loss 6.2537
Step 80, time 0.5747, Loss 6.3754
Step 81, time 0.5763, Loss 7.0019
Step 82, time 0.5850, Loss 7.0078
Step 83, time 0.5699, Loss 6.5334
Step 84, time 0.5859, Loss 7.0111
Step 85, time 0.5788, Loss 7.6774
Step 86, time 0.5767, Loss 7.0295
Step 87, time 0.5879, Loss 6.8578
Step 88, time 0.5684, Loss 6.8434
Step 89, time 0.5845, Loss 6.0777
Step 90, time 0.5669, Loss 6.0377
Step 91, time 0.5826, Loss 7.0914
Step 92, time 0.5753, Loss 6.3327
Step 93, time 0.5849, Loss 6.8657
Step 94, time 0.5745, Loss 7.2123
Step 95, time 0.5844, Loss 6.1768
Step 96, time 0.5789, Loss 6.7131
Step 97, time 0.5766, Loss 6.8609
Step 98, time 0.5693, Loss 5.9281
Step 99, time 0.5793, Loss 6.7257
Step 100, time 0.5768, Loss 6.6696
Step 101, time 0.5760, Loss 7.1282
Step 102, time 0.5709, Loss 6.6436
Step 103, time 0.5738, Loss 6.2767
Step 104, time 0.5680, Loss 6.4249
Step 105, time 0.5668, Loss 6.0538
Step 106, time 0.5752, Loss 5.9956
Step 107, time 0.5666, Loss 6.2502
Step 108, time 0.5781, Loss 5.7132
Step 109, time 0.5782, Loss 6.0598
Step 110, time 0.5773, Loss 7.0172
Step 111, time 0.5814, Loss 6.5815
Step 112, time 0.5784, Loss 6.5967
Step 113, time 0.5783, Loss 6.3614
Step 114, time 0.5732, Loss 5.9361
Step 115, time 0.5784, Loss 7.1462
Step 116, time 0.5755, Loss 6.4998
Step 117, time 0.5741, Loss 6.4865
Step 118, time 0.5720, Loss 5.4459
Step 119, time 0.5661, Loss 6.7993
Step 120, time 0.5821, Loss 6.2182
Step 121, time 0.5724, Loss 6.8984
