Step 0, time 94.5644, Loss 6.4793
Step 1, time 0.7981, Loss 6.9123
Step 2, time 0.7768, Loss 6.6808
Step 3, time 0.7828, Loss 6.8121
Step 4, time 0.7825, Loss 6.4035
Step 5, time 0.7512, Loss 7.1399
Step 6, time 0.7804, Loss 6.3887
Step 7, time 0.7746, Loss 7.0932
Step 8, time 0.8020, Loss 6.6540
Step 9, time 0.7674, Loss 6.8834
Step 10, time 0.7804, Loss 7.6394
Step 11, time 0.7927, Loss 6.3910
Step 12, time 0.8428, Loss 6.7099
Step 13, time 0.7839, Loss 6.3975
Step 14, time 0.7723, Loss 6.5522
Step 15, time 0.7674, Loss 7.2069
Step 16, time 0.7734, Loss 6.8888
Step 17, time 0.7753, Loss 6.9530
Step 18, time 0.7698, Loss 6.7359
Step 19, time 0.7668, Loss 6.9292
Step 20, time 0.7832, Loss 6.3770
Step 21, time 0.7919, Loss 6.8438
Step 22, time 0.7660, Loss 7.5195
Step 23, time 0.7732, Loss 6.9809
Step 24, time 0.7818, Loss 6.4789
Step 25, time 0.7718, Loss 6.3474
Step 26, time 0.7668, Loss 6.6966
Step 27, time 0.7611, Loss 6.1367
Step 28, time 0.7741, Loss 6.4079
Step 29, time 0.7926, Loss 7.2568
Step 30, time 0.7657, Loss 6.8956
Step 31, time 0.7663, Loss 6.6012
Step 32, time 0.7622, Loss 7.0244
Step 33, time 0.7603, Loss 6.5633
Step 34, time 0.7821, Loss 5.8156
Step 35, time 0.7506, Loss 7.0899
Step 36, time 0.7605, Loss 6.8532
Step 37, time 0.7759, Loss 7.4792
Step 38, time 0.7567, Loss 7.1072
Step 39, time 0.7763, Loss 6.2484
Step 40, time 0.7693, Loss 6.9518
Step 41, time 0.7733, Loss 6.8413
Step 42, time 0.7756, Loss 6.6414
Step 43, time 0.7994, Loss 6.5575
Step 44, time 0.7824, Loss 6.3719
Step 45, time 0.7874, Loss 6.4800
Step 46, time 0.7840, Loss 6.2528
Step 47, time 0.7961, Loss 6.0807
Step 48, time 0.7865, Loss 6.5501
Step 49, time 0.7834, Loss 7.0777
Step 50, time 0.7853, Loss 6.4102
Step 51, time 0.7939, Loss 6.5940
Step 52, time 0.7806, Loss 6.4160
Step 53, time 0.7967, Loss 7.2372
Step 54, time 0.7901, Loss 6.2550
Step 55, time 0.7844, Loss 6.4584
Step 56, time 0.7622, Loss 6.7080
Step 57, time 0.7635, Loss 6.4081
Step 58, time 0.7678, Loss 6.9911
Step 59, time 0.7738, Loss 6.9247
Step 60, time 0.7823, Loss 6.2308
Step 61, time 0.7715, Loss 6.8938
Step 62, time 0.7696, Loss 6.5908
Step 63, time 0.7685, Loss 6.2507
Step 64, time 0.7596, Loss 6.0594
Step 65, time 0.7512, Loss 6.0952
Step 66, time 0.7713, Loss 5.7228
Step 67, time 0.7745, Loss 6.8405
Step 68, time 0.7689, Loss 6.8629
Step 69, time 0.7662, Loss 6.7062
Step 70, time 0.7828, Loss 6.6503
Step 71, time 0.7725, Loss 6.2817
Step 72, time 0.7585, Loss 6.3687
Step 73, time 0.7680, Loss 5.8030
Step 74, time 0.7746, Loss 6.0058
Step 75, time 0.7482, Loss 6.0008
Step 76, time 0.7624, Loss 6.5795
Step 77, time 0.7766, Loss 6.1019
Step 78, time 0.7608, Loss 6.1079
Step 79, time 0.7650, Loss 6.0914
Step 80, time 0.7762, Loss 6.6017
Step 81, time 0.7712, Loss 6.3626
Step 82, time 0.7737, Loss 6.7620
Step 83, time 0.7573, Loss 6.6759
Step 84, time 0.7692, Loss 6.6616
Step 85, time 0.7791, Loss 6.5262
Step 86, time 0.7720, Loss 6.1935
Step 87, time 0.7553, Loss 6.6806
Step 88, time 0.7637, Loss 6.5907
Step 89, time 0.7718, Loss 6.6418
Step 90, time 0.7664, Loss 6.7499
Step 91, time 0.7545, Loss 6.5382
Step 92, time 0.7728, Loss 6.7050
Step 93, time 0.7750, Loss 6.6368
Step 94, time 0.7699, Loss 6.4563
Step 95, time 0.7573, Loss 7.2235
Step 96, time 0.7631, Loss 6.0279
Step 97, time 0.7837, Loss 6.7353
