Step 0, time 129.5647, Loss 7.2779
Step 1, time 0.9166, Loss 6.8277
Step 2, time 0.9098, Loss 7.1736
Step 3, time 0.9062, Loss 6.5647
Step 4, time 0.9042, Loss 6.6013
Step 5, time 0.8977, Loss 6.9486
Step 6, time 0.9185, Loss 6.8655
Step 7, time 0.8836, Loss 6.9841
Step 8, time 0.9108, Loss 6.8996
Step 9, time 0.9044, Loss 6.6211
Step 10, time 0.9122, Loss 6.2946
Step 11, time 0.9823, Loss 6.7304
Step 12, time 1.0124, Loss 6.9670
Step 13, time 0.9050, Loss 7.6892
Step 14, time 0.9196, Loss 6.5641
Step 15, time 0.9016, Loss 6.4374
Step 16, time 0.9258, Loss 6.1707
Step 17, time 0.9091, Loss 7.5169
Step 18, time 0.8971, Loss 5.9092
Step 19, time 0.9002, Loss 6.3160
Step 20, time 0.9104, Loss 6.3446
Step 21, time 0.9277, Loss 6.3543
Step 22, time 0.9007, Loss 6.6822
Step 23, time 0.9110, Loss 8.2405
Step 24, time 0.9058, Loss 6.9649
Step 25, time 0.9096, Loss 6.7315
Step 26, time 0.9113, Loss 7.0097
Step 27, time 0.9193, Loss 6.9456
Step 28, time 0.9038, Loss 7.3553
Step 29, time 0.8966, Loss 6.9847
Step 30, time 0.9219, Loss 6.5703
Step 31, time 0.9043, Loss 5.9164
Step 32, time 0.9144, Loss 6.1932
Step 33, time 0.9143, Loss 6.7661
Step 34, time 0.9193, Loss 5.5989
Step 35, time 0.9118, Loss 6.3529
Step 36, time 0.8906, Loss 6.2632
Step 37, time 0.9051, Loss 6.3197
Step 38, time 0.9016, Loss 6.3470
Step 39, time 0.8912, Loss 6.1297
Step 40, time 0.9207, Loss 5.7837
Step 41, time 0.9080, Loss 6.7002
Step 42, time 0.9210, Loss 5.6345
Step 43, time 0.9145, Loss 6.4332
Step 44, time 0.9056, Loss 6.3783
Step 45, time 0.9134, Loss 7.1253
Step 46, time 0.8960, Loss 5.9984
Step 47, time 0.9083, Loss 6.4991
Step 48, time 0.8919, Loss 6.7983
Step 49, time 0.9051, Loss 7.0232
Step 50, time 0.8990, Loss 5.9822
Step 51, time 0.9199, Loss 6.8834
Step 52, time 0.9190, Loss 6.0561
Step 53, time 0.8968, Loss 6.8405
Step 54, time 0.9153, Loss 6.0294
Step 55, time 0.8809, Loss 6.7848
Step 56, time 0.9052, Loss 6.7155
Step 57, time 0.9008, Loss 6.2871
Step 58, time 0.9170, Loss 6.7429
Step 59, time 0.9073, Loss 6.6394
Step 60, time 0.9194, Loss 6.4146
Step 61, time 0.9084, Loss 7.0017
Step 62, time 0.9020, Loss 6.5353
Step 63, time 0.8991, Loss 6.2851
Step 64, time 0.9258, Loss 6.9871
Step 65, time 0.9143, Loss 6.4767
Step 66, time 0.8894, Loss 6.8550
Step 67, time 0.9118, Loss 6.5308
Step 68, time 0.9082, Loss 7.7761
Step 69, time 0.8895, Loss 6.5107
Step 70, time 0.9214, Loss 5.8848
Step 71, time 0.9189, Loss 6.8972
Step 72, time 0.9329, Loss 5.9377
Step 73, time 0.9193, Loss 6.6090
Step 74, time 0.9052, Loss 6.4464
Step 75, time 0.9134, Loss 7.0545
Step 76, time 0.9062, Loss 6.6568
Step 77, time 0.9256, Loss 6.5775
Step 78, time 0.9130, Loss 6.4517
Step 79, time 0.9133, Loss 6.2739
Step 80, time 0.9095, Loss 6.7502
Step 81, time 0.9033, Loss 6.4250
Step 82, time 0.9054, Loss 6.7163
Step 83, time 0.8851, Loss 6.3090
Step 84, time 0.9023, Loss 6.2951
Step 85, time 0.9145, Loss 6.8600
Step 86, time 0.9149, Loss 6.5715
Step 87, time 0.9023, Loss 7.0488
Step 88, time 0.9097, Loss 6.7046
Step 89, time 0.9086, Loss 6.0591
Step 90, time 0.9250, Loss 6.4674
Step 91, time 0.9284, Loss 6.8078
Step 92, time 0.9360, Loss 7.0853
Step 93, time 0.9095, Loss 7.1598
Step 94, time 0.9308, Loss 7.9812
Step 95, time 0.9004, Loss 6.3304
Step 96, time 0.9342, Loss 7.4698
Step 97, time 0.9523, Loss 7.0023
Step 98, time 0.9020, Loss 6.0955
Step 99, time 0.9000, Loss 6.4106
Step 100, time 0.9511, Loss 5.9700
Step 101, time 0.9284, Loss 6.5070
Step 102, time 0.9333, Loss 6.6083
Step 103, time 0.9281, Loss 6.4058
Step 104, time 0.9139, Loss 6.8982
Step 105, time 0.8981, Loss 7.1467
Step 106, time 0.9118, Loss 6.3728
Step 107, time 0.9061, Loss 6.2842
Step 108, time 0.9219, Loss 6.3117
Step 109, time 0.8909, Loss 6.4915
Step 110, time 0.8988, Loss 6.9743
Step 111, time 0.9275, Loss 6.9578
Step 112, time 0.9135, Loss 5.8506
Step 113, time 0.8994, Loss 6.6694
Step 114, time 0.9120, Loss 6.4590
Step 115, time 0.9014, Loss 5.7796
Step 116, time 0.9200, Loss 6.3830
Step 117, time 0.9310, Loss 6.3532
Step 118, time 0.9384, Loss 5.8723
Step 119, time 0.9287, Loss 6.7233
Step 120, time 0.9093, Loss 6.2711
Step 121, time 0.9125, Loss 6.1471
Step 122, time 0.9089, Loss 6.2690
Step 123, time 0.9344, Loss 6.6388
Step 124, time 0.9153, Loss 6.7133
Step 125, time 0.9074, Loss 6.4654
Step 126, time 0.9189, Loss 6.3644
Step 127, time 0.9214, Loss 6.1911
Step 128, time 0.9148, Loss 5.9427
Step 129, time 0.8995, Loss 6.8954
Step 130, time 0.9233, Loss 6.2927
Step 131, time 0.9113, Loss 6.3221
Step 132, time 0.8983, Loss 7.1679
Step 133, time 0.8962, Loss 5.9733
Step 134, time 0.9153, Loss 6.5716
Step 135, time 0.9009, Loss 6.8478
Step 136, time 0.9157, Loss 6.9154
Step 137, time 0.9105, Loss 6.5987
Step 138, time 0.9171, Loss 6.8352
Step 139, time 0.9201, Loss 6.4598
Step 140, time 0.9265, Loss 5.9139
Step 141, time 0.9293, Loss 6.2506
